dataset,subject_id,fold_id,seed,version
afdb,04015,4,42,afdb_source_oof_5fold_v1
afdb,04043,3,42,afdb_source_oof_5fold_v1
afdb,04048,3,42,afdb_source_oof_5fold_v1
afdb,04126,4,42,afdb_source_oof_5fold_v1
afdb,04746,1,42,afdb_source_oof_5fold_v1
afdb,04908,1,42,afdb_source_oof_5fold_v1
afdb,04936,2,42,afdb_source_oof_5fold_v1
afdb,05091,3,42,afdb_source_oof_5fold_v1
afdb,05121,1,42,afdb_source_oof_5fold_v1
afdb,05261,2,42,afdb_source_oof_5fold_v1
afdb,06426,4,42,afdb_source_oof_5fold_v1
afdb,06453,0,42,afdb_source_oof_5fold_v1
afdb,06995,1,42,afdb_source_oof_5fold_v1
afdb,07162,2,42,afdb_source_oof_5fold_v1
afdb,07859,4,42,afdb_source_oof_5fold_v1
afdb,07879,2,42,afdb_source_oof_5fold_v1
afdb,07910,0,42,afdb_source_oof_5fold_v1
afdb,08215,0,42,afdb_source_oof_5fold_v1
afdb,08219,0,42,afdb_source_oof_5fold_v1
afdb,08378,3,42,afdb_source_oof_5fold_v1
afdb,08405,1,42,afdb_source_oof_5fold_v1
afdb,08434,2,42,afdb_source_oof_5fold_v1
afdb,08455,0,42,afdb_source_oof_5fold_v1
