target,alpha,selected,accuracy,balanced_accuracy,macro_f1,auroc,auprc,sensitivity,specificity,precision,mcc,threshold,confusion_matrix,support,positive_count,negative_count
cpsc2021,0.0,True,0.9004180044829466,0.921943860902346,0.887317429689773,0.9647017864648653,0.8846770609916784,0.9726165901335467,0.8712711316711452,0.7530989039665971,0.7905426736219913,0.00487036257982254,"[[51229, 7569], [650, 23087]]",82535,23737,58798
cpsc2021,0.25,False,0.899545647301145,0.9219470582498888,0.8865101450544052,0.9646743114872642,0.8825423321656509,0.9746808779542486,0.8692132385455288,0.7505352624407967,0.7896606452030047,-0.02299923449754715,"[[51108, 7690], [601, 23136]]",82535,23737,58798
cpsc2021,0.5,False,0.8988550311988853,0.9216256340064328,0.885817711462523,0.9646195843612129,0.8800621720618572,0.9752285461515777,0.8680227218612878,0.7489404380601119,0.7886321519449639,-0.043018888682127,"[[51038, 7760], [588, 23149]]",82535,23737,58798
cpsc2021,0.75,False,0.8992063972859998,0.9218973619755507,0.8861880551246897,0.9645453503700582,0.8773059380235504,0.9753128027973207,0.8684819211537808,0.7496114492941329,0.7892686600742554,-0.048569366335868835,"[[51065, 7733], [586, 23151]]",82535,23737,58798
cpsc2021,1.0,False,0.900272611619313,0.9221307074443077,0.8872140065828922,0.9644570881732928,0.8745242718669748,0.9735855415595905,0.8706758733290249,0.7524256039591066,0.7905876911701997,-0.034078337252140045,"[[51194, 7604], [627, 23110]]",82535,23737,58798
ltaf_clean1h,0.0,True,0.9328540080623735,0.9332237025477634,0.9328338319140828,0.9832644970261213,0.9832521572211801,0.9450542753245346,0.9213931297709924,0.9186589957608152,0.8660293052832188,0.00487036257982254,"[[144843, 12357], [8114, 139559]]",304873,147673,157200
ltaf_clean1h,0.25,False,0.9325817635540045,0.9329943860514383,0.9325646058761046,0.9834951567738147,0.9835179434972496,0.9461986957669987,0.9197900763358778,0.9172295634021939,0.8655660321059535,-0.02299923449754715,"[[144591, 12609], [7945, 139728]]",304873,147673,157200
ltaf_clean1h,0.5,False,0.9325784834996868,0.9330109043709445,0.9325626602288142,0.9836629492774671,0.9837062923950961,0.946848780752067,0.9191730279898219,0.9166983544220809,0.8655990310494593,-0.043018888682127,"[[144494, 12706], [7849, 139824]]",304873,147673,157200
ltaf_clean1h,0.75,False,0.9326244042601346,0.9330494828991619,0.9326081003088351,0.9837830353466996,0.98383685766327,0.9466524009128277,0.9194465648854961,0.9169410591769537,0.8656759962058682,-0.048569366335868835,"[[144537, 12663], [7878, 139795]]",304873,147673,157200
ltaf_clean1h,1.0,False,0.9328999288228214,0.9332776709049526,0.9328803575066243,0.9838656337719494,0.9839231642566748,0.9453657743798799,0.9211895674300254,0.9184902035606669,0.8661357899918766,-0.034078337252140045,"[[144811, 12389], [8068, 139605]]",304873,147673,157200
shdb,0.0,True,0.8677389089934325,0.8960869882285973,0.7951967417778002,0.9422787996657622,0.7180618171424973,0.9360815424784094,0.8560924339787853,0.525727553015491,0.6375853285617158,0.00487036257982254,"[[300152, 50455], [3819, 55929]]",410355,59748,350607
shdb,0.25,False,0.8662694496228875,0.8963725441937238,0.7937838509280675,0.9417248644515938,0.7162230586479483,0.9388431411930106,0.8539019471944371,0.5226944472916686,0.6362425793575148,-0.02299923449754715,"[[299384, 51223], [3654, 56094]]",410355,59748,350607
shdb,0.5,False,0.865438461819644,0.8964694048728745,0.7929714962785441,0.9411751330381793,0.7140248283680366,0.9402490459931713,0.8526897637525777,0.5210060653274721,0.635428074416695,-0.043018888682127,"[[298959, 51648], [3570, 56178]]",410355,59748,350607
shdb,0.75,False,0.8655310645660464,0.8962181317606129,0.7929982272442645,0.9406296299385206,0.7114268597904566,0.9395126196692777,0.8529236438519482,0.5212070566388115,0.6352644330083231,-0.048569366335868835,"[[299041, 51566], [3614, 56134]]",410355,59748,350607
shdb,1.0,False,0.8666764143241827,0.8951875141163741,0.7938808401083542,0.9400895964843331,0.7082907696991149,0.9354120640021424,0.8549629642306058,0.5235994004122166,0.6354479407418941,-0.034078337252140045,"[[299756, 50851], [3859, 55889]]",410355,59748,350607
